org,address,DBA or Program Name (if Applicable),Organization Address,Borough,Website (if Available),Phone Number,Organization Type,Mission Statement or Organizational Summary,Population Served,Types of Services Provided,Description of Programs or Service Opportunities Available to Participants,Hours of Operation and Participant Schedule,Service Location(s),Expected Participant Activities/Duties
Acacia Housing and Preservation,"1254 Morris Avenue, Bronx, NY 10456",,"1254 Morris Avenue, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"366 East 154th Street, Bronx, NY 10455",,"366 East 154th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"100 West 163rd Street, Bronx, NY 10452",,"100 West 163rd Street, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"190-192 Brown Place, Bronx, NY 10454",,"190-192 Brown Place, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"783 East 168th Street, Bronx, NY 10456",,"783 East 168th Street, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"954 Anderson Avenue, Bronx, NY 10452",,"954 Anderson Avenue, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1074 Summit Avenue, Bronx, NY 10452",,"1074 Summit Avenue, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"418 East 148th Street, Bronx, NY 10455",,"418 East 148th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"437 East 135th Street, Bronx, NY 10454",,"437 East 135th Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"765 East 166th Street, Bronx, NY 10456",,"765 East 166th Street, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"830 East 147th Street, Bronx, NY 10455",,"830 East 147th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"851 Tinton Avenue, Bronx, NY 10456",,"851 Tinton Avenue, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"607 Concord Ave, Bronx, NY 10455",,"607 Concord Ave, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"25 E 131st Street, New York, NY 10037",,"25 E 131st Street, New York, NY 10037",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"418 East 119th Street, New York, NY 10035",,"418 East 119th Street, New York, NY 10035",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"401 East 120th Street, New York, NY 10035",,"401 East 120th Street, New York, NY 10035",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"250 E 117st, New York, NY 10035",,"250 E 117st, New York, NY 10035",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1707 Park Avenue, New York, NY 10035",,"1707 Park Avenue, New York, NY 10035",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"517 West 173rd Street, New York, NY 10032",,"517 West 173rd Street, New York, NY 10032",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"454 West 146th Street, New York, NY 10031",,"454 West 146th Street, New York, NY 10031",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"458 West 143rd Street, New York, NY 10031",,"458 West 143rd Street, New York, NY 10031",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"471 West 145th Street, New York, NY 10031",,"471 West 145th Street, New York, NY 10031",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"443-45 St Ann's Avenue, Bronx, NY 10455",,"443-45 St Ann's Avenue, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"512 E 145th Street, Bronx, NY 10454",,"512 E 145th Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"370 Brook Avenue, Bronx, NY 10454",,"370 Brook Avenue, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"535 E 142nd Street, Bronx, NY 10454",,"535 E 142nd Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"545 E 144th Street, Bronx, NY 10454",,"545 E 144th Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1922 Crotona Pkway, Bronx, NY",,"1922 Crotona Pkway, Bronx, NY",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1131 Croes Avenue, Bronx, NY",,"1131 Croes Avenue, Bronx, NY",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"701 Crotona Park North, Bronx, NY",,"701 Crotona Park North, Bronx, NY",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"705 Crotona Park North, Bronx, NY",,"705 Crotona Park North, Bronx, NY",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"370 St Ann's Avenue, Bronx, NY 10454",,"370 St Ann's Avenue, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"231 Jackson Avenue, Bronx, NY 10454",,"231 Jackson Avenue, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"363 E. 150th Street, Bronx, NY 10455",,"363 E. 150th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"442 Wales Ave, Bronx, NY 10455",,"442 Wales Ave, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"531 E 148th Street, Bronx, NY 10455",,"531 E 148th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"673 E 137th Street, Bronx, NY 10454",,"673 E 137th Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"674 E 138th Street, Bronx, NY 10454",,"674 E 138th Street, Bronx, NY 10454",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"389 E 151st Street, Bronx, NY 10455",,"389 E 151st Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"408 E 152nd Street, Bronx, NY 10455",,"408 E 152nd Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"367 E 151st Street, Bronx, NY 10455",,"367 E 151st Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"415 E 151st Street, Bronx, NY 10455",,"415 E 151st Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
